Id,month_,New_User,DAU,D1_Retention,D7_Retention,D30_Retention,Avg_Session,Playtime_day,Paying_user,Gross_Revenue,ARPPU,ARPDAU,Conversion_Rate
1,Jan,160402,20389,35.92,7.95,2.24,5,15,700,1955.34,2.79,0.1,0.44
2,"Feb ",110829,17035,34.82,8.26,2.36,5,14,780,1216.28,1.56,0.07,0.7
3,Mar,116097,15639,34.87,7.71,1.61,4,14,670,1294.07,1.93,0.08,0.58
4,Apr,101066,14716,34.84,8.48,1.9,4,13,570,1190.11,2.09,0.08,0.56
5,May,119965,15510,34.72,7.87,2.05,5,15,573,1255.6,2.19,0.08,0.48
6,Jun,94217,14645,34.84,7.11,1.7,5,13,890,1145.08,1.29,0.08,0.94
7,Jul,69633,10370,32.74,6.73,1.4,5,12,250,772.78,3.09,0.07,0.36
8,Aug,47090,7361,32.07,6.66,1.35,4,10,220,472.34,2.15,0.06,0.47
9,Sep,35245,5881,30.53,5.68,1.34,3,14,210,415.48,1.98,0.07,0.6
10,Oct,33472,5001,30.89,5.81,1.51,4,12,211,368.48,1.75,0.07,0.63
11,Nov,31808,4661,31.38,5.81,1.49,4,11,102,445.96,4.37,0.1,0.32
12,Dec,17433,3552,29.15,5.19,0.11,3,10,102,374.79,3.67,0.11,0.59
